state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Texas,48317,Martin County,1857,288,2160,1569,0.8597222222222223,0.13333333333333333,0.726388888888889
Texas,48319,Mason County,2108,566,2700,1542,0.7807407407407407,0.20962962962962964,0.5711111111111111
Texas,48321,Matagorda County,9836,3726,13710,6110,0.7174325309992706,0.27177242888402625,0.44566010211524437
Texas,48323,Maverick County,6881,8324,15338,-1443,0.4486243317251271,0.5427043943147738,-0.09408006258964668
Texas,48325,Medina County,15599,6731,22568,8868,0.6911999291031549,0.29825416518964903,0.39294576391350583
Texas,48327,Menard County,819,196,1023,623,0.8005865102639296,0.19159335288367546,0.6089931573802541
Texas,48329,Midland County,45463,12258,58752,33205,0.7738119553376906,0.20863970588235295,0.5651722494553377
Texas,48331,Milam County,7950,2475,10523,5475,0.7554879787132947,0.23519908771262948,0.5202888910006651
Texas,48333,Mills County,2214,271,2502,1943,0.8848920863309353,0.10831334932054357,0.7765787370103917
Texas,48335,Mitchell County,2169,397,2579,1772,0.8410236525785189,0.15393563396665375,0.6870880186118651
Texas,48337,Montague County,8613,1097,9812,7516,0.8778026905829597,0.11180187525479006,0.7660008153281697
Texas,48339,Montgomery County,193224,74255,271175,118969,0.7125435604314557,0.2738268645708491,0.43871669586060663
Texas,48341,Moore County,4356,1059,5502,3297,0.7917121046892039,0.19247546346782987,0.5992366412213741
Texas,48343,Morris County,3841,1664,5548,2177,0.6923215573179524,0.2999279019466474,0.392393655371305
Texas,48345,Motley County,604,46,652,558,0.9263803680981595,0.0705521472392638,0.8558282208588956
Texas,48347,Nacogdoches County,17359,8989,26755,8370,0.6488133059241263,0.33597458418987103,0.3128387217342553
Texas,48349,Navarro County,13787,5097,19105,8690,0.7216435488092122,0.26678879874378436,0.45485475006542786
Texas,48351,Newton County,4882,1175,6096,3707,0.8008530183727034,0.192749343832021,0.6081036745406824
Texas,48353,Nolan County,4127,1161,5352,2966,0.7711136023916293,0.21692825112107622,0.554185351270553
Texas,48355,Nueces County,64467,60749,126984,3718,0.5076781326781327,0.4783988533988534,0.029279279279279258
Texas,48357,Ochiltree County,2811,302,3155,2509,0.8909667194928684,0.09572107765451664,0.7952456418383518
Texas,48359,Oldham County,917,81,1009,836,0.908820614469772,0.0802775024777007,0.8285431119920713
Texas,48361,Orange County,29170,6354,35974,22816,0.8108634013454161,0.17662756435203203,0.634235836993384
Texas,48363,Palo Pinto County,10170,2177,12478,7993,0.8150344606507454,0.17446706202917134,0.6405673986215741
Texas,48365,Panola County,9322,2057,11452,7265,0.8140062871114215,0.1796192804750262,0.6343870066363954
Texas,48367,Parker County,61584,12789,75434,48795,0.8163957896969536,0.1695389346978816,0.646856854999072
Texas,48369,Parmer County,2133,488,2648,1645,0.8055135951661632,0.18429003021148035,0.6212235649546828
Texas,48371,Pecos County,3213,1378,4668,1835,0.6883033419023136,0.2952013710368466,0.39310197086546694
Texas,48373,Polk County,18496,5353,24072,13143,0.768361581920904,0.222374543037554,0.54598703888335
Texas,48375,Potter County,22732,9867,33242,12865,0.6838337043499187,0.29682329583057576,0.387010408519343
Texas,48377,Presidio County,721,1463,2217,-742,0.3252142534957149,0.6599007668019846,-0.3346865133062697
Texas,48379,Rains County,5147,841,6044,4306,0.8515883520847121,0.13914626075446723,0.7124420913302448
Texas,48381,Randall County,57695,11414,69973,46281,0.8245323196089921,0.16312006059480086,0.6614122590141912
Texas,48383,Reagan County,942,172,1124,770,0.8380782918149466,0.15302491103202848,0.6850533807829182
Texas,48385,Real County,1643,320,1982,1323,0.8289606458123108,0.16145307769929365,0.6675075681130171
Texas,48387,Red River County,4513,1244,5800,3269,0.7781034482758621,0.21448275862068966,0.5636206896551724
Texas,48389,Reeves County,2249,1394,3683,855,0.6106434971490633,0.3784957914743416,0.2321477056747217
Texas,48391,Refugio County,2210,1108,3366,1102,0.6565656565656566,0.32917409387997626,0.3273915626856803
Texas,48393,Roberts County,529,17,550,512,0.9618181818181818,0.03090909090909091,0.9309090909090909
Texas,48395,Robertson County,5631,2359,8080,3272,0.6969059405940594,0.29195544554455444,0.404950495049505
Texas,48397,Rockwall County,38842,18149,57792,20693,0.6720999446290143,0.31404000553709854,0.3580599390919158
Texas,48399,Runnels County,3682,531,4262,3151,0.8639136555607696,0.12458939465039888,0.7393242609103707
Texas,48401,Rusk County,16511,4624,21367,11887,0.7727336547011747,0.21640848036692095,0.5563251743342538
Texas,48403,Sabine County,4767,662,5462,4105,0.8727572317832296,0.12120102526547052,0.7515562065177591
Texas,48405,San Augustine County,3005,979,3998,2026,0.7516258129064533,0.24487243621810906,0.5067533766883442
Texas,48407,San Jacinto County,10154,2332,12628,7822,0.8040861577446944,0.18466898954703834,0.619417168197656
Texas,48409,San Patricio County,16495,8971,25850,7524,0.6381044487427466,0.3470406189555126,0.29106382978723405
Texas,48411,San Saba County,2308,287,2602,2021,0.8870099923136049,0.11029976940814758,0.7767102229054573
Texas,48413,Schleicher County,939,211,1158,728,0.810880829015544,0.18221070811744386,0.6286701208981001
Texas,48415,Scurry County,4978,818,5865,4160,0.848763853367434,0.13947144075021312,0.7092924126172209
Texas,48417,Shackelford County,1484,130,1628,1354,0.9115479115479116,0.07985257985257985,0.8316953316953317
Texas,48419,Shelby County,7962,2058,10063,5904,0.7912153433369771,0.2045115770644937,0.5867037662724834
Texas,48421,Sherman County,885,91,990,794,0.8939393939393939,0.09191919191919191,0.802020202020202
Texas,48423,Smith County,68546,29343,99521,39203,0.6887591563589595,0.29484229459109135,0.3939168617678681
Texas,48425,Somervell County,4099,768,4940,3331,0.8297570850202429,0.15546558704453442,0.6742914979757085
